,right,strike,expiry,bid_price,ask_price,delta,gamma,theta,vega,rho,ImV,t,k
10001326,1,2.7,2018-12-26,0.3488,0.3488,-0.675791352373015,0.795516127012138,-0.108459316079173,0.60066912416787,-0.955326012207465,0.270548682044908,0.4821917808219178,0.10373403572806847
10001327,1,2.75,2018-12-26,0.3875,0.3875,-0.707620042268447,0.753170805513492,-0.0990823740071164,0.574036920485002,-1.01112145919288,0.273089781887339,0.4821917808219178,0.1220831743962649
10001328,1,2.8,2018-12-26,0.4299,0.4299,-0.732545424098972,0.703430191860216,-0.093112360070677,0.549751527155392,-1.06067799083537,0.280029988088322,0.4821917808219178,0.1401016798989433
10001329,1,2.85,2018-12-26,0.4684,0.4684,-0.76385470783131,0.664077467995249,-0.0783841864171821,0.514753951713477,-1.11577285089545,0.277741033056099,0.4821917808219178,0.1578012569983443
10001330,1,2.9,2018-12-26,0.5127,0.5127,-0.783558923204981,0.616812768755036,-0.0720504701749867,0.490024706277782,-1.16017454456064,0.284658216267326,0.4821917808219178,0.17519299971021338
10001331,0,2.45,2018-12-26,0.1463,0.1463,0.515896576982633,1.03501343695174,-0.191037456044173,0.665940691362207,0.529222587153182,0.230541262323354,0.4821917808219178,0.006570287274420645
10001332,1,2.45,2018-12-26,0.1818,0.1818,-0.478111737129676,0.915641140436224,-0.13881618441968,0.665466489205327,-0.644372971099789,0.260411401698596,0.4821917808219178,0.006570287274420645
10001333,0,2.95,2018-12-26,0.0266,0.0266,0.140791508949671,0.561915408988033,-0.100936380113596,0.373261061360909,0.150890704587538,0.238013092524671,0.4821917808219178,0.19228743306951357
10001334,1,2.95,2018-12-26,0.557,0.557,-0.802363068035432,0.573366943875156,-0.0644852555077673,0.46436301212474,-1.20353572394772,0.290191087929618,0.4821917808219178,0.19228743306951357
10001335,0,2.45,2018-07-25,0.0412,0.0412,0.394258241103462,2.51477758982675,-0.494451405966051,0.231757478221282,0.0570038709878358,0.254119918624943,0.06027397260273973,0.019227821520995926
10001336,0,2.5,2018-07-25,0.0263,0.0263,0.28220131186704,2.17866529963592,-0.435353864367535,0.20348615320231,0.0410030887181669,0.257542482697823,0.06027397260273973,0.03943052883851528
10001337,0,2.55,2018-07-25,0.0157,0.0157,0.189327686184747,1.74172851731672,-0.347172282936276,0.163062857127571,0.027631088527493,0.258154153859721,0.06027397260273973,0.059233156134695104
10001338,0,2.6,2018-07-25,0.0096,0.0096,0.124925341597472,1.29243391445703,-0.268647561002239,0.123915261113239,0.0182801765883766,0.264375364291833,0.06027397260273973,0.07865124199179659
10001339,0,2.65,2018-07-25,0.006,0.006,0.0822801995342277,0.923478800273525,-0.203873074265769,0.0914471705513464,0.0120602602523845,0.273053580066778,0.06027397260273973,0.09769943696249117
10001340,0,2.7,2018-07-25,0.0037,0.0037,0.0532089653638518,0.640712107981497,-0.149146697391354,0.0652583459283194,0.00781045191631692,0.280852091889527,0.06027397260273973,0.11639156997464382
10001341,0,2.75,2018-07-25,0.0023,0.0023,0.0343550692613683,0.437349695415528,-0.107469443348218,0.0458274349967265,0.00504851214192957,0.288935732550088,0.06027397260273973,0.13474070864284027
10001342,0,2.8,2018-07-25,0.0017,0.0017,0.0251464466703441,0.320013940320086,-0.0872879945953645,0.0353689289692483,0.00369424039245969,0.304759704676015,0.06027397260273973,0.1527592141455185
10001343,0,2.85,2018-07-25,0.0013,0.0013,0.0189500477170017,0.23945740327483,-0.0722066377038203,0.0278523423444259,0.00278276129750225,0.320728821526414,0.06027397260273973,0.17045879124491953
10001344,1,2.45,2018-07-25,0.0948,0.0948,-0.591604907099958,2.26164201090041,-0.48377988412614,0.233885207586716,-0.095406507976395,0.285156598016789,0.06027397260273973,0.019227821520995926
10001345,1,2.5,2018-07-25,0.1288,0.1288,-0.694633989608505,2.02386087922473,-0.427696323513625,0.211053570377031,-0.113124133894045,0.287552124303973,0.06027397260273973,0.03943052883851528
10001346,1,2.55,2018-07-25,0.1686,0.1686,-0.775118973324062,1.67572099128769,-0.364816005197521,0.180556082878542,-0.127798654705832,0.29710841108782,0.06027397260273973,0.059233156134695104
10001347,1,2.6,2018-07-25,0.2115,0.2115,-0.836811971462814,1.33366938737422,-0.294826576627671,0.148421384117326,-0.139827926804276,0.306868865121184,0.06027397260273973,0.07865124199179659
10001348,1,2.65,2018-07-25,0.2576,0.2576,-0.876106310314968,1.04526470533365,-0.246925198285039,0.12319879686797,-0.148673226194955,0.325001011758648,0.06027397260273973,0.09769943696249117
10001349,1,2.7,2018-07-25,0.3055,0.3055,-0.900103625107918,0.833378970046362,-0.218861117718047,0.105606802277051,-0.155319209504782,0.349424930990323,0.06027397260273973,0.11639156997464382
10001350,1,2.75,2018-07-25,0.3551,0.3551,-0.910243834279679,0.697663830067352,-0.222553409831071,0.097596222444006,-0.159977500704558,0.385737030511418,0.06027397260273973,0.13474070864284027
